plotID,TreeKey,SpeciesAbbrev,Azimuth,Distance,CrownWidth1,CrownWidth2,CrownOffsetAzimuth,CrownOffsetDistance,Z
211,36062,Sb,2.7,0.7,4.22,3.67,0,0,14.9
211,36063,Sb,15.2,2.9,2.53,2.1,0,0,12.6
211,36064,Sb,42.8,5.5,2.91,2.81,0,0,15.8
211,36065,Sb,15,6.3,3.33,3.23,0,0,13.4
211,36066,Bw,14.9,6.6,3.05,2.27,0,0,8
211,36068,Sb,17.8,8.1,3.01,2.53,0,0,8.3
211,36069,Sb,41.7,7.8,2.55,1.91,0,0,11.7
211,36070,Bw,42.5,9.7,3.9,3.02,0,0,11.2
211,36071,Sb,33.9,8.5,2.4,2.49,0,0,12.5
211,36072,Sb,35,8.7,2.21,1.56,0,0,8.3
211,36073,Sb,35.2,11.2,1.93,2.48,0,0,11.2
211,36074,Sb,52.7,3.6,2.46,2.6,0,0,12.2
211,36075,Sb,65.5,4.4,3.01,3,0,0,12.8
211,36076,Sb,53.2,5.3,2.12,2.08,0,0,13.4
211,36077,Sb,70.1,5.3,2.66,2.9,0,0,10.4
211,36078,Sb,54.8,6.9,2.45,2.11,0,0,12.1
211,36079,Bw,48.6,7.1,4.35,4.8,0,0,9.7
211,36080,Sb,58.8,9.7,3.83,2.8,0,0,13.5
211,36081,Sb,57.5,9.2,4.91,5.02,0,0,17.3
211,36082,Bw,80.6,6.6,5.33,4.3,0,0,13.3
211,36083,Sb,69,8.9,1.67,1.55,0,0,9.6
211,36084,Sb,75.6,9.6,2.5,3.17,0,0,10.8
211,36085,Sb,82.1,10.01,4.2,4.55,0,0,19.7
211,36086,Sb,78.3,9.52,3.15,2.29,0,0,10.9
211,36087,Sb,91.5,9.35,NA,NA,0,0,11
