plot_id,tree_id,XTOP,YTOP,ZTOP,set_id
358,29,426286.43,5321209.57,12.1,LMF_002
358,30,426282.33,5321212.72,10.68,LMF_002
358,31,426282.21,5321215.69,9.24,LMF_002
358,32,426281.97,5321213.91,10.79,LMF_002
358,33,426288.1,5321211.19,9.92,LMF_002
358,34,426290.68,5321211,12.59,LMF_002
358,36,426293.16,5321204.94,9.03,LMF_002
358,37,426293.34,5321198.02,9.46,LMF_002
358,41,426291.91,5321200.82,8.9,LMF_002
358,42,426292.18,5321201.83,9.07,LMF_002
358,43,426295.01,5321204.27,9.26,LMF_002
358,44,426299.73,5321202.89,10.24,LMF_002
358,45,426297.94,5321203.8,10.69,LMF_002
358,47,426297.17,5321214.4,9.66,LMF_002
358,48,426292.87,5321209.87,10.07,LMF_002
358,49,426296.33,5321207.69,10.56,LMF_002
358,50,426296.25,5321208.64,10.71,LMF_002
358,51,426299.67,5321208.68,11.49,LMF_002
358,52,426298.85,5321209.59,11.18,LMF_002
358,53,426292.64,5321211.87,11.22,LMF_002
358,54,426297.62,5321211.46,10.77,LMF_002
358,55,426300.89,5321212.15,11.06,LMF_002
358,61,426301.6,5321208.52,10.32,LMF_002
358,66,426279.56,5321217.27,9.64,LMF_002
358,70,426288.8,5321216.69,10.82,LMF_002
358,80,426291.63,5321216.25,9.83,LMF_002
358,81,426293.11,5321217.68,9.53,LMF_002
358,82,426294.95,5321218.06,11.09,LMF_002
358,102,426282.34,5321201.58,8.88,LMF_002
358,105,426288.4,5321197.55,10.59,LMF_002
358,106,426284.22,5321204.55,10.87,LMF_002
358,107,426286.71,5321200.7,9.13,LMF_002
358,108,426289.84,5321203,10.52,LMF_002
358,109,426288.77,5321204.54,9.45,LMF_002
358,110,426290.85,5321205.49,9.53,LMF_002
358,116,426277.59,5321207.87,10.84,LMF_002
358,117,426276.14,5321212.32,10.39,LMF_002
358,119,426285.9,5321210.51,11.12,LMF_002
358,120,426281.66,5321208.61,12.86,LMF_002
358,121,426285.57,5321212.08,10.65,LMF_002
358,122,426286.97,5321213.21,11.77,LMF_002
